Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
154.522 2031.4327382368 0.0025465196 0.0122160469 0.4761459314 0.0386829522 14212.2396954787 86381.3554894462 85787.7603045211
155.532 2031.4324653175 0.0022188005 0.0106439482 0.4306620415 0.0341096343 14212.2399677832 86381.4074657263 85787.7600322167
156.542 2031.4322275205 0.0019332569 0.0092741646 0.3895149977 0.0300745494 14212.2402069986 86381.4543180045 85787.7597930013
157.552 2031.4320203260 0.0016844610 0.0080806601 0.3522922941 0.0265146843 14212.2404171557 86381.4965540618 85787.7595828442
158.562 2031.4318397957 0.0014676835 0.0070407490 0.3186205342 0.0233743584 14212.2406017925 86381.5346310594 85787.7593982073
159.572 2031.4316824980 0.0012788039 0.0061346654 0.2881617393 0.0206043757 14212.2407640147 86381.5689606187 85787.7592359852
160.581 2031.4315454432 0.0011142317 0.0053451868 0.2606100028 0.0181612758 14212.2409065486 86381.5999133872 85787.7590934512
161.591 2031.4314260262 0.0009708388 0.0046573073 0.2356884585 0.0160066689 14212.2410317882 86381.6278231440 85787.7589682117
162.601 2031.4313219772 0.0008458995 0.0040579518 0.2131465345 0.0141066491 14212.2411418353 86381.6529904906 85787.7588581645
163.611 2031.4312313183 0.0007370390 0.0035357283 0.1927574655 0.0124312732 14212.2412385359 86381.6756861697 85787.7587614639
164.621 2031.4311523265 0.0006421880 0.0030807103 0.1743160387 0.0109541013 14212.2413235107 86381.6961540492 85787.7586764891
165.631 2031.4310835003 0.0005595436 0.0026842493 0.1576365528 0.0096517889 14212.2413981835 86381.7146138070 85787.7586018163
166.641 2031.4310235314 0.0004875349 0.0023388094 0.1425509690 0.0085037272 14212.2414638046 86381.7312633445 85787.7585361952
167.651 2031.4309712800 0.0004247931 0.0020378246 0.1289072364 0.0074917239 14212.2415214725 86381.7462809589 85787.7584785272
168.661 2031.4309257529 0.0003701257 0.0017755740 0.1165677761 0.0065997220 14212.2415721520 86381.7598272961 85787.7584278477
169.671 2031.4308860847 0.0003224936 0.0015470728 0.1054081074 0.0058135504 14212.2416166906 86381.7720471086 85787.7583833091
170.681 2031.4308515215 0.0002809913 0.0013479777 0.0953156046 0.0051207033 14212.2416558329 86381.7830708372 85787.7583441668
171.691 2031.4308214063 0.0002448301 0.0011745045 0.0861883714 0.0045101463 14212.2416902331 86381.7930160335 85787.7583097665
172.701 2031.4307951667 0.0002133225 0.0010233557 0.0779342216 0.0039721435 14212.2417204662 86381.8019886411 85787.7582795335
173.711 2031.4307723039 0.0001858697 0.0008916586 0.0704697558 0.0034981059 14212.2417470370 86381.8100841481 85787.7582529627
174.721 2031.4307523833 0.0001619498 0.0007769097 0.0637195263 0.0030804568 14212.2417703894 86381.8173886241 85787.7582296103
175.731 2031.4307350263 0.0001411082 0.0006769280 0.0576152810 0.0027125131 14212.2417909132 86381.8239796548 85787.7582090864
176.741 2031.4307199031 0.0001229488 0.0005898132 0.0520952785 0.0023883806 14212.2418089512 86381.8299271822 85787.7581910483
177.751 2031.4307067260 0.0001071263 0.0005139092 0.0471036685 0.0021028611 14212.2418248046 86381.8352942618 85787.7581751951
178.761 2031.4306952448 0.0000933400 0.0004477735 0.0425899312 0.0018513707 14212.2418387378 86381.8401377437 85787.7581612619
179.770 2031.4306852411 0.0000813280 0.0003901489 0.0385083693 0.0016298675 14212.2418509834 86381.8445088867 85787.7581490162
180.780 2031.4306765247 0.0000708617 0.0003399400 0.0348176487 0.0014347879 14212.2418617459 86381.8484539110 85787.7581382537
181.790 2031.4306689301 0.0000617424 0.0002961926 0.0314803831 0.0012629902 14212.2418712048 86381.8520144954 85787.7581287948
182.800 2031.4306623129 0.0000537967 0.0002580752 0.0284627571 0.0011117048 14212.2418795181 86381.8552282260 85787.7581204816
183.810 2031.4306565472 0.0000468735 0.0002248631 0.0257341861 0.0009784903 14212.2418868243 86381.8581289999 85787.7581131753
184.820 2031.4306515235 0.0000408413 0.0001959251 0.0232670083 0.0008611949 14212.2418932456 86381.8607473888 85787.7581067541
185.830 2031.4306471464 0.0000355854 0.0001707112 0.0210362056 0.0007579222 14212.2418988889 86381.8631109669 85787.7581011107
186.840 2031.4306433325 0.0000310058 0.0001487421 0.0190191514 0.0006670008 14212.2419038486 86381.8652446057 85787.7580961510
187.850 2031.4306400095 0.0000270156 0.0001296003 0.0171953825 0.0005869579 14212.2419082075 86381.8671707407 85787.7580917921
188.860 2031.4306371141 0.0000235390 0.0001129218 0.0155463925 0.0005164957 14212.2419120382 86381.8689096104 85787.7580879613
189.870 2031.4306345913 0.0000205097 0.0000983897 0.0140554451 0.0004544708 14212.2419154047 86381.8704794727 85787.7580845948
190.880 2031.4306323931 0.0000178703 0.0000857278 0.0127074047 0.0003998757 14212.2419183633 86381.8718967992 85787.7580816362
191.890 2031.4306304779 0.0000155705 0.0000746954 0.0114885839 0.0003518229 14212.2419209633 86381.8731764510 85787.7580790362
192.900 2031.4306288091 0.0000135667 0.0000650827 0.0103866049 0.0003095305 14212.2419232483 86381.8743318366 85787.7580767513
193.910 2031.4306273551 0.0000118208 0.0000567071 0.0093902744 0.0002723100 14212.2419252562 86381.8753750544 85787.7580747433
194.920 2031.4306260882 0.0000102996 0.0000494094 0.0084894704 0.0002395546 14212.2419270208 86381.8763170216 85787.7580729787
195.930 2031.4306249844 0.0000089741 0.0000430508 0.0076750400 0.0002107302 14212.2419285714 86381.8771675890 85787.7580714280
196.940 2031.4306240226 0.0000078192 0.0000375106 0.0069387063 0.0001853661 14212.2419299341 86381.8779356468 85787.7580700654
